id,YEAR,STATEICP,STATEFIP,COUNTYICP,SEX,MARST,BIRTHYR,RACE,RACED,BPL,BPLD,NATIVITY,CITIZEN,EDUC,EDUCD,EMPSTAT,EMPSTATD,LABFORCE,OCC1950,INCTOT,INCWAGE,INCBUSFM,OCCSCORE,BPL_MOM,BPL_POP,BPL_MOM2,BPL_POP2,BPLD_MOM,BPLD_POP,BPLD_MOM2,BPLD_POP2,NATIVITY_MOM,NATIVITY_POP,NATIVITY_SP,NATIVITY_MOM2,NATIVITY_POP2,married,foreign,college,employed,female
5360,1940,73,53,530,1,6,1937,5,500,53,5300,0,0,0,2,0,0,0,999,NA,NA,NA,0,53,501,NA,NA,5300,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
5772,1940,71,6,370,2,1,1903,5,500,501,50100,0,3,2,26,3,31,1,999,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
2081,1940,71,6,850,1,6,1934,5,500,6,600,0,0,0,2,0,0,0,999,NA,NA,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
1917,1940,71,6,750,2,1,1906,4,400,6,600,0,0,6,60,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
6400,1940,71,6,670,2,1,1891,5,500,501,50100,0,3,0,2,1,10,2,820,NA,45,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,1,1
6935,1940,71,6,370,2,5,1876,5,500,501,50100,0,3,0,2,3,32,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
1794,1940,63,16,650,1,6,1917,5,500,16,1600,4,0,6,60,1,10,2,100,NA,0,NA,14,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,1,0
6754,1940,71,6,370,1,6,1900,4,400,15,1500,0,0,6,60,1,10,2,100,NA,0,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0
10472,1940,72,41,510,2,1,1885,4,400,500,50000,0,3,1,17,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
3734,1940,67,49,30,1,6,1934,5,500,49,4900,0,0,0,2,0,0,0,999,NA,NA,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
195,1940,71,6,10,2,6,1923,5,500,6,600,4,0,5,50,3,33,1,999,NA,0,NA,0,501,501,NA,NA,50100,50100,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
687,1940,13,36,610,2,6,1934,4,400,36,3600,0,0,2,22,0,0,0,999,NA,NA,NA,0,500,500,NA,NA,50000,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
7218,1940,62,8,890,2,1,1897,5,500,501,50100,0,3,99,999,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,0,0,1
10272,1940,71,6,750,2,6,1931,4,400,6,600,0,0,1,17,0,0,0,999,NA,NA,NA,0,6,500,NA,NA,600,50000,NA,NA,0,0,NA,NA,NA,0,0,0,0,1
322,1940,71,6,750,2,5,1881,4,400,500,50000,0,3,0,2,3,31,1,999,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
