STATEFIP_1940,COUNTYICP_1940,ENUMDIST,CITY_1940,SEX_1940,MARST_1940,BIRTHYR_1940,RACE_1940,LABFORCE_1940,INCWAGE_1940,OCC1950_1940,EDUC_1940,CITIZEN_1940,NATIVITY_1940,NATIVITY_MOM_1940,NATIVITY_POP_1940,step_1940,STATEFIP_1950,COUNTYICP_1950,CITY_1950,SEX_1950,MARST_1950,BIRTHYR_1950,RACE_1950,LABFORCE_1950,INCWAGE_1950,INCTOT,OCC1950_1950,EDUC_1950,CITIZEN_1950,NATIVITY_1950,NATIVITY_MOM_1950,NATIVITY_POP_1950,step_1950
6,370,6007010,3730,2,6,1930,5,0,999999,999,2,0,0,0,0,2,8,310,1710,2,6,1930,5,1,999999,9999999,999,0,0,0,0,0,2
6,370,6007010,3730,2,6,1937,5,0,999999,999,0,0,0,0,0,2,8,310,1710,2,6,1937,5,0,999999,9999999,999,2,0,0,0,0,2
6,370,6007030,3730,1,1,1892,5,2,0,290,2,3,5,NA,NA,2,6,370,3730,1,1,1891,5,2,999999,9999999,490,0,3,0,NA,NA,2
6,370,6007030,3730,2,1,1897,5,1,0,999,2,3,0,NA,NA,2,6,370,3730,2,1,1896,5,1,999999,9999999,999,0,3,0,NA,NA,2
6,370,6007060,3730,1,1,1894,5,2,0,290,5,3,5,NA,NA,2,6,370,3730,1,1,1897,5,2,999999,9999999,930,0,3,0,NA,NA,2
6,370,6007060,3730,2,1,1903,5,1,0,999,5,3,0,NA,NA,2,6,370,3730,2,1,1904,5,2,999999,9999999,640,0,3,0,NA,NA,2
6,370,6007060,3730,1,6,1931,5,0,999999,999,2,0,0,0,5,2,6,370,3730,1,6,1931,5,1,0,0,979,7,0,4,0,0,2
6,370,6007060,3730,1,1,1902,5,2,0,290,6,3,0,NA,NA,2,6,830,6320,1,1,1904,5,2,999999,9999999,820,0,3,0,NA,NA,2
6,370,6007070,3730,1,1,1899,5,2,1800,490,6,3,0,NA,NA,2,6,370,0,1,1,1899,5,2,999999,9999999,290,0,3,0,NA,NA,2
6,370,6007070,3730,2,1,1909,5,1,0,999,6,3,0,NA,NA,2,6,370,0,2,1,1909,5,1,0,0,999,6,3,5,NA,NA,2
6,370,6007080,3730,1,1,1897,5,2,1040,632,6,0,0,NA,NA,1,6,370,3730,1,1,1896,5,2,999999,9999999,490,0,0,0,NA,NA,1
6,370,6007080,3730,2,1,1912,5,1,0,999,6,0,0,NA,NA,2,6,370,3730,2,1,1913,5,1,999999,9999999,999,0,0,0,NA,NA,2
6,370,6007080,3730,1,6,1938,5,0,999999,999,0,0,0,0,0,2,6,370,3730,1,6,1938,5,9,999999,9999999,999,2,0,2,0,0,2
6,370,6007090,3730,2,5,1894,5,2,0,290,10,3,0,NA,NA,2,6,370,0,2,5,1889,5,1,999999,9999999,999,0,3,0,NA,NA,2
6,370,6007090,3730,1,6,1924,5,1,0,999,2,0,0,0,NA,2,6,370,0,1,6,1924,5,2,450,450,390,8,0,4,0,NA,2
6,370,6007110,3730,1,1,1888,5,2,0,290,6,3,0,NA,NA,2,6,370,3730,1,1,1889,5,2,1050,1050,930,6,3,5,NA,NA,2
6,370,6007110,3730,2,1,1897,5,1,0,999,2,3,0,NA,NA,2,6,370,3730,2,1,1896,5,1,0,0,999,0,3,5,NA,NA,2
