prev_address,state,county,city,NHGISST,NHGISCTY,ICPSRFIP,STATEFIP,COUNTYICP
13713,California,Imperial,NA,060,0250,6025,6,250
13714,California,Imperial,NA,060,0250,6025,6,250
1371B,California,Imperial,NA,060,0250,6025,6,250
13720,California,Riverside,NA,060,0650,6065,6,650
13721,California,Riverside,NA,060,0650,6065,6,650
13722,California,Riverside,Riverside/Corona,060,0650,6065,6,650
13724,California,Riverside,NA,060,0650,6065,6,650
13730,California,San Bernardino,NA,060,0710,6071,6,710
13731,California,San Bernardino,Chino/Needles,060,0710,6071,6,710
13732,California,San Bernardino,Colton/Upland,060,0710,6071,6,710
13733,California,San Bernardino,Ontario/Redlands,060,0710,6071,6,710
13734,California,San Bernardino,San Bernardino,060,0710,6071,6,710
13810,California,Alameda,Pleasanton,060,0010,6001,6,10
13811,California,Alameda,Everyville/Livermore,060,0010,6001,6,10
13812,California,Alameda,Piedmont/Albany/Hayward,060,0010,6001,6,10
13813,California,Alameda,San Leandro,060,0010,6001,6,10
13814,California,Alameda,Alameda/Oakland/Berkeley,060,0010,6001,6,10
13820,California,Contra Costa,NA,060,0130,6013,6,130
13822,California,Contra Costa,Antioch/El Cerrito/Martinez/Pittsburg,060,0130,6013,6,130
13823,California,Contra Costa,NA,060,0130,6013,6,130
13825,California,Contra Costa,NA,060,0130,6013,6,130
13830,California,Marin,NA,060,0410,6041,6,410
13831,California,Marin,Mill Valley/Sausalito,060,0410,6041,6,410
13832,California,Marin,San Anselmo/San Rafael,060,0410,6041,6,410
13841,California,San Francisco,NA,060,0750,6075,6,750
13844,California,San Francisco,San Francisco,060,0750,6075,6,750
13850,California,San Mateo,NA,060,0810,6081,6,810
13851,California,San Mateo,Hillsborough/Menlo Park/San Carlos,060,0810,6081,6,810
13852,California,San Mateo,Daly City/South San Francisco,060,0810,6081,6,810
13853,California,San Mateo,San Mateo/Burlingame/Redwood City,060,0810,6081,6,810
13855,California,San Mateo,NA,060,0810,6081,6,810
13860,California,Solano,NA,060,0950,6095,6,950
13863,California,Solano,Vallejo,060,0950,6095,6,950
13910,California,Sacramento,NA,060,0670,6067,6,670
13911,California,Sacramento,North Sacramento,060,0670,6067,6,670
13912,California,Sacramento,NA,060,0670,6067,6,670
13913,California,Sacramento,NA,060,0670,6067,6,670
13914,California,Sacramento,Sacramento,060,0670,6067,6,670
13915,California,Sacramento,NA,060,0670,6067,6,670
13919,California,Sacramento,NA,060,0670,6067,6,670
1391O,California,Sacramento,NA,060,0670,6067,6,670
21053,New Mexico,Curry,Clovis,350,0090,35009,35,90
21253,New Mexico,Santa Fe,Santa Fe,350,0490,35049,35,490
22451,Colorado,Otero,Rocky Ford,080,0890,8089,8,890
22620,Colorado,Weld,Fort Lupton,080,1230,8123,8,1230
22623,Colorado,Weld,Greeley,080,1230,8123,8,1230
23033,Idaho,Bannock,Pocatello,160,0050,16005,16,50
23060,Idaho,Bingham,Shelly,160,0110,16011,16,110
23061,Idaho,Bingham,Blackfoot,160,0110,16011,16,110
23103,Idaho,Bonneville,Idaho Falls,160,0190,16019,16,190
24253,Montana,Lewis and Clark,Helena,300,0490,30049,30,490
24324,Montana,Missoula,Missoula,300,0630,30063,30,630
24342,Montana,Park,Livingston,300,0670,30067,30,670
25030,Nevada,Douglas,Glenbrook,320,0050,32005,32,50
25100,Nevada,Lyon,Mason,320,0190,32019,32,190
26130,Arizona,Gila,Winkelman,040,0070,4007,4,70
26160,Arizona,Yavapai,Jerome,040,0250,4025,4,250
26210,Arizona,Cochise,NA,040,0030,4003,4,30
26240,Arizona,Maricopa,NA,040,0130,4013,4,130
26241,Arizona,Maricopa,Glendale/Tempe,040,0130,4013,4,130
26242,Arizona,Maricopa,Mesa,040,0130,4013,4,130
26244,Arizona,Maricopa,Phoenix,040,0130,4013,4,130
26254,Arizona,Pinal,Tucson,040,0210,4021,4,210
26282,Arizona,Yuma,Yuma,040,0270,4027,4,270
27020,Utah,Box Elder,Garland,490,0030,49003,49,30
27040,Utah,Carbon,Royal,490,0070,49007,49,70
27261,Utah,Wasatch,Keetley,490,0510,49051,49,510
31374,Alabama,Jefferson,Birmingham,010,0730,1073,1,730
32604,Arkansas,Pulaski,Little Rock,050,1190,5119,5,1190
3800&,Texas,Harris,Webster,480,2010,48201,48,2010
4&221,Wisconsin,Grant,Lancaster,550,0430,55043,55,430
41165,Illinois,Cook,Chicago,170,0310,17031,17,310
45134,Michigan,Calhoun,Battle Creek,260,0250,26025,26,250
47422,Missouri,Henry/Rives,Clinton,290,0830,29083,29,830
47953,Missouri,St Louis,Clayton,290,1890,29189,29,1890
48284,Nebraska,Douglas,Omaha,310,0550,31055,31,550
49083,North Dakota,Burleigh,Bismarck,380,0150,38015,38,150
5-014,Virginia,Norfolk,Norfolk,510,1290,51129,51,1290
5-023,Virginia,Suffolk City,Suffolk,510,8000,51800,51,8000
53014,Florida,Pinellas,St. Petersburg,120,1030,12103,12,1030
57014,New York,Dutchess,Poughkeepsie,360,0270,36027,36,270
57024,New York,Chemung,Elmira,360,0150,36015,36,150
57025,New York,Chemung,Elmira,360,0150,36015,36,150
57035,New York,New York,New York,360,0610,36061,36,610
5900&,Pennsylvania,Lackawanna,Carbondale,420,0690,42069,42,690
59014,Pennsylvania,York,York,420,1330,42133,42,1330
59025,Pennsylvania,Philadelphia,Philadelphia,420,1010,42101,42,1010
71--&,Hawaii,Hawaii,NA,155,0015,0,15.5,15
71--0,Hawaii,Hawaii,NA,155,0015,0,15.5,15
71--1,Hawaii,Hawaii,NA,155,0015,0,15.5,15
