Year,NHGISST,NHGISCTY,STATENAM,NHGISNAM,ICPSRST,ICPSRCTY,area_base,NHGISST_1950,NHGISCTY_1950,STATENAM_1950,NHGISNAM_1950,ICPSRST_1950,ICPSRCTY_1950,area,weight,US_STATE
1940,270,1430,Minnesota,Sibley,33,1430,1555405321.765618,270,1430,Minnesota,Sibley,33,1430,1555405321.7656136,1.0,1
1940,270,1710,Minnesota,Wright,33,1710,1850133523.8225486,270,1710,Minnesota,Wright,33,1710,1850133523.8225465,1.0,1
1940,300,0130,Montana,Cascade,64,130,7022713248.966749,300,0130,Montana,Cascade,64,130,7022713248.966747,1.0,1
1940,300,0450,Montana,Judith Basin,64,450,4844884815.673804,300,0450,Montana,Judith Basin,64,450,4844884815.673796,1.0,1
1940,300,0990,Montana,Teton,64,990,5937680244.800024,300,0990,Montana,Teton,64,990,5937680244.800034,1.0,1
1940,210,1990,Kentucky,Pulaski,51,1990,1753306920.2814293,210,1990,Kentucky,Pulaski,51,1990,1753306920.2814271,1.0,1
1940,170,1250,Illinois,Mason,21,1250,1459364146.5201,170,1250,Illinois,Mason,21,1250,1459364146.5200992,1.0,1
1940,170,1290,Illinois,Menard,21,1290,817033283.0764865,170,1290,Illinois,Menard,21,1290,817033283.0764879,1.0,1
1940,170,1670,Illinois,Sangamon,21,1670,2271465195.1943226,170,1670,Illinois,Sangamon,21,1670,2271465195.1943207,1.0,1
1940,180,0490,Indiana,Fulton,22,490,961572587.5997227,180,0490,Indiana,Fulton,22,490,961572587.5997219,1.0,1
1940,180,1030,Indiana,Miami,22,1030,977429216.4601002,180,1030,Indiana,Miami,22,1030,977429216.460098,1.0,1
1940,180,1310,Indiana,Pulaski,22,1310,1125425862.3456225,180,1310,Indiana,Pulaski,22,1310,1125425862.3456213,1.0,1
1940,190,1550,Iowa,Pottawattamie,31,1550,2484108119.345655,190,1550,Iowa,Pottawattamie,31,1550,2484108119.345656,1.0,1
